node,name,lat,long
BL35,เพชรเกษม 48,13.71568244,100.4456034
BL36,ภาษีเจริญ,13.7131121,100.4342104
BL37,บางแค,13.71202498,100.4224186
BL38,หลักสอง,13.71265855,100.4100125
R01,รังสิต,13.99264545,100.6020989
R02,หลักหก,13.96650293,100.6053243
R03,ดอนเมือง,13.91441226,100.5979704
R04,การเคหะ,13.89921235,100.5887971
R05,หลักสี่,13.88429523,100.5826057
R06,ทุ่งสองห้อง,13.86040303,100.5674285
R07,บางเขน,13.84849842,100.560967
R08,วัดเสมียนนารี,13.84188457,100.557517
R09,จัตุจักร,13.82677362,100.5494146
R10,สถานีกลางบางซื่อ,13.8051229,100.5416993
R11,บางซ่อน,13.82301484,100.5339235
R12,บางบำหรุ,13.79189183,100.4776516
R13,ตลิ่งชัน,13.78952086,100.4393685
AP01,พญาไท,13.75723293,100.5339065
AP02,ราชปรารภ,13.75537447,100.5421851
AP03,มักกะสัน,13.75208348,100.5606043
AP04,รามคำแหง,13.74295425,100.6002024
AP05,หัวหมาก,13.73894628,100.6449152
AP06,บ้านทับช้าง,13.73320703,100.6886383
AP07,ลาดกระบัง,13.7279739,100.7473901
AP08,สุวรรณภูมิ,13.69523744,100.7511311
G01,กรุงธนบุรี,13.72111093,100.5036812
G02,เจริญนคร,13.72648563,100.5090282
G03,คลองสาน,13.73038632,100.5076442
N24,คูคต,13.932321,100.646628
N23,แยก คปอ.,13.924972,100.625894
N22,พิพิธภัณฑ์กองทัพอากาศ,13.917936,100.62174
N21,โรงพยาบาลภูมิพลอดุลยเดช,13.910713,100.617454
N20,สะพานใหม่,13.89587,100.609158
N19,สายหยุด,13.888434,100.604313
N18,พหลโยธิน59,13.882446,100.600796
N17,วัดพระศรีมหาธาตุ,13.875278,100.596988
N16,กรมทหารราบที่11,13.867604,100.59199
N15,บางบัว,13.855965,100.585201
N14,กรมป่าไม้,13.850252,100.581797
N13,มหาวิทยาลัยเกษตรศาสตร์,13.842283,100.577147
N12,เสนานิคม,13.836331,100.573705
N11,รัชโยธิน,13.829705,100.569706
N10,พหลโยธิน24,13.824024,100.566476
N09,ห้าแยกลาดพร้าว,13.816432,100.561967
N08,หมอชิต,13.802625,100.553639
N07,สะพานควาย,13.793799,100.549558
N05,อารีย์,13.780008,100.544916
N04,สนามเป้า,13.772963,100.542401
N03,อนุสาวรีย์ชัยสมรภูมิ,13.762693,100.53686
N02,พญาไท,13.756692,100.533816
N01,ราชเทวี,13.751959,100.531739
CEN,สยาม,13.745726,100.531739
E01,ชิดลม,13.744215,100.543251
E02,เพลินจิต,13.743162,100.5490071
E03,นานา,13.740326,100.555442
E04,อโศก,13.736988,100.560613
E05,พร้อมพงษ์,13.730292,100.569696
E06,ทองหล่อ,13.724293,100.578664
E07,เอกมัย,13.719425,100.585027
E08,พระโขนง,13.71518,100.59138
E09,อ่อนนุช,13.705811,100.601152
E10,บางจาก,13.696541,100.605637
E11,ปุณณวิถี,13.688791,100.609375
E12,อุดมสุข,13.679636,100.609578
E13,บางนา,13.667945,100.604761
E14,แบริ่ง,13.661158,100.601976
E15,สำโรง,13.64614,100.595798
E16,ปู่เจ้า,13.637172,100.591749
E17,ช้างเอราวัณ,13.621512,100.590007
E18,โรงเรียนนายเรือ,13.608551,100.595041
E19,ปากน้ำ,13.60192,100.597354
E20,ศรีนครินทร์,13.592279,100.60902
E21,แพรกษา,13.584614,100.607803
E22,สายลวด,13.577769,100.605642
E23,เคหะฯ,13.567625,100.607907
